id,Operator
844,China National Aviation Corporation
845,Spencer Airways / Ceskoslovenske Aerolinie
846,Philippine Air Lines
847,KLM Royal Dutch Airlines
848,China National Aviation Corporation
849,Air France
850,International Air Freight
851,Aerovias Cuba International
852,Slick Airways
853,Military - Corrieri Aerei Militari
854,AVIANCA
855,Military - Chinese Air Force
856,Military - Royal Air Force
857,VIARCO
858,Military - Royal Air Force
859,Air France
860,TACA
861,Military - Royal Air Force
862,Linea Aeropostal Venezolana
863,British South American Airways
864,Delta Air Lines
865,TAM (Peru)
866,Trans Canada Air Lines
867,Trans Continental and Western Air
868,Flugefelag
869,Military - U.S. Army Air Forces
870,United Air Lines
871,Eastern Air Lines
872,Air France
873,Flota Aérea Mercante Argentina
874,Pennsylvania Central Airlines
875,Pan American World Airways
876,Air France
877,Burke Air Transport
878,Aero Cargo
879,British Overseas Airways
880,Flota Aérea Mercante Argentina
881,Military - Chinese Air Force
882,British South American Airways
883,Military - U.S. Navy
884,American Airlines
885,AB Aerotransport
886,Transporturile Aeriene Romano-Sovietice
887,Slick Airways
888,British Overseas Airways
889,Norwegian Airlines
890,American Airlines
891,Stratofreight
892,Societe Aerienne du Littoral
893,United Air Lines
894,Pan American World Airways
895,AB Aerotransport
896,Military - Royal Indian Air Force
897,Philippine Air Express
898,American Airlines
899,Société Auxiliare de Navigation Aérienne
900,Trafik-Turist-Transportflyg
901,Trans Continental and Western Air
902,TARS
903,Columbia Air Cargo
904,JAT Yugoslav Airlines
905,China National Aviation Corporation
906,Military - U.S. Air Force
907,Alaska Airlines
908,Military - U.S. Air Force
909,Military - U.S. Air Force
910,Air Transport
911,Air India
912,Servicio Aéreo Panini
913,Air France
914,British European Airways
915,Coastal Air Lines
916,Transport Comp. Algerienne de T.A.
917,Dominicana
918,Eastern Air Lines
919,China National Aviation Corporation
920,Military - Royal Air Force
921,Airline Transport Carriers
922,British South American Airways
923,Eastern Air Lines
924,Det Danske Luftfartselskab
925,Società Aerea Teseo
926,Latecoere Airlines
927,Commercial Airways
928,Bruning Aviation
929,Military - Brazilian Air Force
930,Société de Transports Aériens
931,Sabena
932,Loftleidir IcelandiAirlines
933,Delta Air Lines
934,Northwest Orient Airlines
935,Cruzeiro
936,Agencia Interamericana de Aviada
937,Indian National Airlines
938,British European Airways / Military - Soviet Air Force
939,Pan American World Airways
940,SAETA
941,Sabena
942,Skyways of London
943,Mercury Aviation
944,Slick Airways
945,Air Transport Charter
946,Alpha Airways
947,Hargreaves Airways
948,United Air Lines
949,Linea Aeropostal Venezolana
950,Avio Linee Italiane
951,Scandinavian Airlines (SAS)
952,Aigle Azur
953,Aerovias Brasil
954,Cathay PacifiAirways
955,Rimouski Airlines
956,ALFA
957,Civil Air Transport
958,Air France
959,Onzeair
960,New Zealand National Airways
961,Avensa
962,LANSA
963,Northwest Orient Airlines
964,Sabena
965,Australian National Airways
966,Norwegian Airlines
967,KLM Royal Dutch Airlines
968,New Zealand National Airways
969,Northwest Orient Airlines
970,Military - U.S. Air Force
971,PacifiAlaska Air Freight
972,Australian National Airways
973,Mannin Airways
974,Pakistan Airways
975,Central Air Transport
976,
977,China National Aviation Corporation
978,LANSA
979,Ceskoslovenske Aerolinie
980,China National Aviation Corporation
981,Iberia Airlines
982,Airborne Transport
983,Pan African Air Charter
984,Seattle Air Charter
985,British South American Airways
986,Coastal Cargo
987,Viacao Aerea Gaucha S.A.
988,Pan African Air Charter
989,Dalmia Jain Airways
990,British South American Airways
991,Military - U.S. Air Force
992,Alaska Airlines
993,Pan American World Airways
994,Saint Lawrence Airways
995,Skyways of London
996,AVIANCA
997,Scandinavian Airlines (SAS)
998,Faucett
999,British European Airways / Military - British
1000,Cathay PacifiAirways
1001,LOT Polish Airlines
1002,Queensland Airlines
1003,Skyways
1004,New Zealand National Airways
1005,Avio Linee Italiane
1006,Philippine Air Lines
1007,Tech - Aeronautical Explotiation
1008,Military - Brazilian Air Force
1009,Strato Freight
1010,KLM Royal Dutch Airlines
1011,MaRoberston-Miller Airlines
1012,KLM Royal Dutch Airlines
1013,Standard Airlines
1014,Air Transport Associates
1015,Eastern Air Lines / Military - USN
1016,Varig
1017,Lineas Aéreas Brasil
1018,Shell Co of Ecuador
1019,Transocean Air Lines
1020,British European Airways
1021,Military - Royal Canadian Air Force
1022,Sabena
1023,Canadian PacifiAir Lines
1024,Mexicana
1025,Flota Aérea Mercante Argentina
1026,Slick Airways
1027,Air France
1028,Eastern Air Lines / Military - Bolivian Air Force
1029,Harrington's Inc
1030,Aero Holland
1031,Air France
1032,American Airlines
1033,REAL
1034,Arrow Airlines
1035,Civil Air Transport
1036,Civil Air Transport
1037,Pakair
1038,Capital Airlines
1039,Mexicana
1040,Sabena
1041,Bharat Airways
1042,Ejercito del Aire
1043,Military - Bolivian Air Force
1044,Societe Transatlantique Aerienne
1045,Philippine Air Lines
1046,Military - U.S. Air Force
1047,KLM Royal Dutch Airlines
1048,Ceskoslovenske Aerolinie
1049,Northwest Orient Airlines
1050,Societe Indochinoise de Transport Aeriens
1051,Fairflight Ltd.
1052,Devlet Hava Yollairi
1053,SEMAF
1054,Deccan Airways
1055,Lineas Aéreas Nacionales
1056,Military - U.S. Air Force
1057,AVIANCA
1058,Military - U.S. Air Force
1059,Military - U.S. Air Force
1060,Regina Cargo Airlines
1061,Aerovias Brasil
1062,Westair Transport
1063,New Tribes Mission
1064,Air France
1065,Air France
1066,Northwest Orient Airlines
1067,Ansett ANA
1068,Military - U.S. Air Force
1069,Aigle Azur
1070,Indian National Airlines
1071,DTA Angola Airlines
1072,Military - U.S. Air Force
1073,Panair do Brasil
1074,Cie Air Transport
1075,Military - U.S. Air Force
1076,Military - Royal Air Force
1077,Trans World Airlines
1078,Robinson Airlines
1079,Iran Air
1080,Military - U.S. Navy
1081,JAT Yugoslav Airlines
1082,Svenska Aero
1083,Military - U.S. Air Force
1084,Air Atlas
1085,Northwest Orient Airlines
1086,British European Airways
1087,British European Airways
1088,Air India
1089,Northwest Orient Airlines
1090,Curtiss-Reid Flying Services Ltd. (Canada)
1091,Garuda Indonesia Airlines
1092,New Tribes Mission
1093,Faucett
1094,Indamer
1095,Iran Air
1096,Air Atlas
1097,T.A. Intercontinentaux
1098,Air India
1099,VASP
1100,Avensa
1101,Military - U.S. Air Force
1102,Canadian PacifiAir Lines
1103,Aerolineas Argentinas
1104,United Airways
1105,Air Carriers
1106,National Airlines
1107,Northwest Orient Airlines
1108,Alitalia
1109,Military -Royal Air Force
1110,Icelandair
1111,Military - Portuguese Air Force
1112,Air France
1113,Lineas Aéreas Nacionales
1114,Mid Continent Airlines
1115,PacifiOverseas Airways
1116,LANSA
1117,Military - U.S. Air Force
1118,Military - Pakistan Air Force
1119,Cruzeiro
1120,Aerolineas Argentinas
1121,AVIANCA
1122,Southwest Airways
1123,Military - U.S. Air Force
1124,Siamese Airways
1125,Cubana de Aviacion / Military -  US Navy
1126,United Air Lines
1127,Military - U.S. Air Force
1128,Hunting Air Travel
1129,VASP
1130,Military - U.S. Air Force
1131,Lineas Aéreas Trans. Brasileira
1132,Sociedad Aeronautica Medellin
1133,Pan American World Airways
1134,JAT Yugoslav Airlines
1135,United Air Lines
1136,Indamer
1137,Loide Aereo Nacional
1138,Military - U. S. Air Force
1139,Military - Royal Air Force
1140,Qantas
1141,Air Outre-Mer
1142,Canadian PacifiAir Lines
1143,Sabena
1144,Loide Aéreo Nacional
1145,Trans Australia Airlines
1146,Air France
1147,REAL
1148,United Air Lines
1149,VASP
1150,United Air Lines
1151,Societe Alpes Provence
1152,Air India
1153,Frigorifico Cooperativo Los Andes
1154,Aero Transportes
1155,South African Airways
1156,Military - U.S. Air Force
1157,Queen Charlotte Airlines
1158,JAT Yugoslav Airlines
1159,Military - Guatemalan Air Force
1160,Transocean Air Lines
1161,Devlet Hava Yollari
1162,Deccan Airways
1163,El Al
1164,Lineas Aereas Unidas
